id, street, neighbourhood, zipcode, smart_location, is_location_exact, property_type, room_type, accommodates, bedrooms, beds, price
13697288, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, t, Condominium, Entire home/apt, 4, 2, 2, 103.00
13699069, Killiney; Dublin; Ireland, , , Killiney; Ireland, f, Townhouse, Entire home/apt, 2, 1, 1, 99.00
13705598, Ranelagh; County Dublin; Ireland, Ranelagh and Rathmines, D06 TC66, Ranelagh; Ireland, t, Apartment, Entire home/apt, 4, 1, 2, 135.00
13707984, Drumcondra; Dublin; Ireland, Phibsborough, , Drumcondra; Ireland, t, Apartment, Entire home/apt, 2, 1, 1, 200.00
13708706, Dublin; County Dublin; Ireland, , , Dublin; Ireland, f, House, Private room, 2, 1, 1, 60.00
13710791, Dublin; Dublin; Ireland, Old City, , Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 52.00
13711379, Dublin; Dublin; Ireland, Blackrock, , Dublin; Ireland, t, House, Entire home/apt, 6, 5, 5, 105.00
13711690, Dublin; Dublin; Ireland, Drumcondra, , Dublin; Ireland, t, House, Entire home/apt, 9, 5, 9, 200.00
13712870, Dublin; Dublin; Ireland, The Liberties, , Dublin; Ireland, t, Apartment, Entire home/apt, 4, 1, 2, 105.00
13721777, Dublin; Dublin; Ireland, Grafton Street/St. Stephens Green, , Dublin; Ireland, t, Apartment, Private room, 2, 1, 1, 60.00
13728920, Kinsealy; Dublin; Ireland, , Co Dublin, Kinsealy; Ireland, f, Guesthouse, Entire home/apt, 4, 2, 2, 150.00
13729635, Dublin; County Dublin; Ireland, City Centre, D1, Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 55.00
13731026, Dublin; Dublin; Ireland, City Centre, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 70.00
13735979, Dublin; County Dublin; Ireland, Docklands, , Dublin; Ireland, f, Apartment, Entire home/apt, 8, 2, 5, 350.00
13736081, Dublin; Dublin; Ireland, Docklands, , Dublin; Ireland, f, Apartment, Entire home/apt, 8, 3, 4, 500.00
13736981, Ringsend; Dublin; Ireland, Ballsbridge, , Ringsend; Ireland, t, Townhouse, Entire home/apt, 4, 2, 2, 180.00
13738766, Dublin; Dublin; Ireland, Old City, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 69.00
13739315, Rathmines; Dublin; Ireland, Ranelagh and Rathmines, , Rathmines; Ireland, t, House, Entire home/apt, 7, 4, 5, 700.00
13740674, Dublin; County Dublin; Ireland, Raheny, D13 W2W1, Dublin; Ireland, t, House, Entire home/apt, 7, 4, 4, 140.00
13742700, Dublin; Dublin; Ireland, The Liberties, , Dublin; Ireland, t, House, Entire home/apt, 4, 3, 3, 180.00
13748376, Dublin; Dublin; Ireland, Temple Bar, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 80.00
13749033, Dublin; Dublin; Ireland, , , Dublin; Ireland, t, House, Entire home/apt, 3, 2, 2, 70.00
13749513, Dublin; Dublin; Ireland, Georgian Quarter, , Dublin; Ireland, t, Apartment, Entire home/apt, 2, 0, 1, 89.00
13750546, Dublin; Dublin; Ireland, Temple Bar, , Dublin; Ireland, f, Apartment, Private room, 2, 1, 1, 65.00
13757022, Dublin; Dublin; Ireland, "North City Central/OConnell Street", , Dublin; Ireland, f, Apartment, Entire home/apt, 3, 1, 2, 99.00
13757303, Dublin; Dublin; Ireland, "North City Central/OConnell Street", , Dublin; Ireland, f, House, Entire home/apt, 2, 1, 1, 99.00
13757438, Dublin; Dublin; Ireland, "North City Central/OConnell Street", , Dublin; Ireland, f, Apartment, Entire home/apt, 2, 1, 2, 100.00
13757779, Dublin; Dublin; Ireland, "North City Central/OConnell Street", , Dublin; Ireland, t, House, Private room, 2, 1, 1, 65.00
13759408, Dublin; Dublin; Ireland, Bonnybrook/Darndale, , Dublin; Ireland, t, House, Private room, 2, 1, 1, 25.00
13759419, Dublin; Dublin; Ireland, Inchicore, , Dublin; Ireland, f, Apartment, Entire home/apt, 6, 3, 3, 80.00
13761510, Dublin; County Dublin; Ireland, Old City, , Dublin; Ireland, f, Apartment, Entire home/apt, 2, 1, 1, 120.00
