id,street,neighbourhood,zipcode,smart_location,is_location_exact,property_type,room_type,accommodates,bedrooms,beds,price_19_07,price_19_01,price_19_03,price_19_04,price_19_05,price_19_06,price_19_08,price_19_09,price_19_10,price_19_11,price_19_12,price_20_01,price_20_02,price_20_04,price_20_05,price_20_06,price_20_07
726075,Dublin;Ireland,Drumcondra,dublin9,Dublin;Ireland,t,Townhouse,Entirehome/apt,5,3,5,120.00,0,120.00,120.00,120.00,120.00,120.00,120.00,120.00,120.00,180.00,180.00,180.00,180.00,90.00,90.00,90.00
742656,Dublin;Dublin;Ireland,GraftonStreet/St.StephensGreen,2,Dublin;Ireland,t,Apartment,Privateroom,2,1,1,60.00,55.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00
747284,Dublin;Dublin;Ireland,Dundrum,,Dublin;Ireland,t,Condominium,Entirehome/apt,4,2,2,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00,89.00
747976,Dublin;Dublin;Ireland,Beaumont,,Dublin;Ireland,t,Townhouse,Privateroom,2,1,1,36.00,41.00,41.00,41.00,41.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,36.00,0,0,36.00
761912,Malahide;Dublin;Ireland,,,Malahide;Ireland,t,House,Privateroom,4,1,4,135.00,0,145.00,145.00,145.00,145.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
816039,CountyDublin;CountyDublin;Ireland,PhoenixParkandSurrounds,,CountyDublin;Ireland,t,Townhouse,Entirehome/apt,12,4,6,238.00,294.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00,238.00
870350,Malahide;Dublin;Ireland,,,Malahide;Ireland,f,Apartment,Entirehome/apt,5,2,3,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,0,0,0
871174,Clontarf;Dublin;Ireland,Clontarf,,Clontarf;Ireland,t,House,Privateroom,3,1,3,27.00,26.00,27.00,27.00,27.00,27.00,27.00,27.00,35.00,0,0,0,0,0,25.00,30.00,30.00
872539,Dublin;Dublin;Ireland,NorthStrand,,Dublin;Ireland,t,Cottage,Entirehome/apt,4,2,2,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00,200.00
884599,Dublin17;Dublin;Ireland,Bonnybrook/Darndale,D13,Dublin17;Ireland,t,Apartment,Privateroom,2,1,1,50.00,50.00,0,0,50.00,50.00,50.00,50.00,50.00,50.00,50.00,0,0,0,0,0,0
898411,Dublin2;CountyDublin;Ireland,OldCity,,Dublin2;Ireland,t,Apartment,Privateroom,2,1,1,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,0,0,0,0,0
922425,Dublin;CountyDublin;Ireland,OldCity,,Dublin;Ireland,t,Townhouse,Entirehome/apt,4,2,2,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,134.00,0,134.00,134.00,134.00,134.00,134.00,134.00
928970,Dublin;Dublin;Ireland,Docklands,,Dublin;Ireland,t,Boat,Entirehome/apt,4,1,3,130.00,130.00,130.00,130.00,130.00,130.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00,165.00
929816,Dublin;Dublin;Ireland,Docklands,Dublin2,Dublin;Ireland,t,Apartment,Privateroom,2,1,1,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00
936063,Swords;Dublin;Ireland,,,Swords;Ireland,t,Townhouse,Privateroom,6,4,5,50.00,40.00,40.00,40.00,40.00,40.00,40.00,45.00,50.00,50.00,50.00,50.00,0,0,0,0,0
937977,Swords;Dublin;Ireland,,,Swords;Ireland,t,House,Privateroom,10,4,5,50.00,40.00,40.00,40.00,40.00,40.00,45.00,45.00,45.00,45.00,45.00,45.00,0,0,0,0,0
939866,Dublin;Dublin;Ireland,Docklands,Dublin2,Dublin;Ireland,t,Apartment,Entirehome/apt,4,2,2,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00,170.00
990300,Rathmines;Dublin;Ireland,Dartry,,Rathmines;Ireland,t,Townhouse,Privateroom,3,2,2,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
998407,Donaghmede;Dublin;Ireland,Raheny,,Donaghmede;Ireland,t,Apartment,Entirehome/apt,2,0,1,45.00,20.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00,45.00
999963,Dublin;Leinster;Ireland,CityCentre,7,Dublin;Ireland,t,Apartment,Entirehome/apt,2,0,1,415.00,415.00,415.00,415.00,415.00,415.00,415.00,415.00,455.00,455.00,455.00,455.00,200.00,200.00,200.00,200.00,200.00
1017861,Dublin;Dublin;Ireland,Pelletstown,,Dublin;Ireland,t,Townhouse,Privateroom,3,1,2,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
1064692,Dublin;Dublin;Ireland,GeorgianQuarter,,Dublin;Ireland,t,House,Privateroom,1,1,1,53.00,53.00,53.00,53.00,53.00,53.00,53.00,53.00,69.00,69.00,69.00,69.00,0,0,0,0,44.00
1073487,Clonskeagh;Dublin;Ireland,Dundrum,,Clonskeagh;Ireland,t,House,Privateroom,1,1,1,55.00,45.00,45.00,45.00,45.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
1076514,Dublin;Dublin;Ireland,TrinityCollege,,Dublin;Ireland,t,Apartment,Entirehome/apt,4,1,2,145.00,120.00,120.00,128.00,145.00,145.00,145.00,145.00,145.00,145.00,145.00,110.00,110.00,110.00,110.00,110.00,0
1076634,Dublin;Dublin;Ireland,Kimmage,,Dublin;Ireland,t,House,Privateroom,2,1,1,59.00,50.00,50.00,55.00,59.00,59.00,59.00,59.00,59.00,59.00,59.00,59.00,59.00,59.00,59.00,59.00,59.00
1086416,Dublin;Dublin;Ireland,CityCentre,,Dublin;Ireland,t,Apartment,Entirehome/apt,2,1,1,100.00,0,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
1131404,Dublin;Dublin;Ireland,CityCentre,,Dublin;Ireland,f,Condominium,Entirehome/apt,4,1,2,120.00,120.00,120.00,120.00,120.00,120.00,120.00,0,0,0,0,0,0,0,0,0,0
1173029,Dublin;Dublin;Ireland,Stoneybatter/ArbourHill,D7,Dublin;Ireland,t,House,Entirehome/apt,4,2,2,143.00,143.00,143.00,143.00,143.00,143.00,143.00,0,143.00,0,125.00,0,125.00,0,125.00,125.00,125.00
1207950,Ballinteer;Dublin;Ireland,Dundrum,,Ballinteer;Ireland,t,House,Entirehome/apt,8,4,4,230.00,230.00,230.00,230.00,230.00,230.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,280.00,320.00,320.00,320.00
